Clans,Pfam_List,Pfam_List_in_combine
CL0001,"['PF00008', 'PF00053', 'PF00084', 'PF00594', 'PF01414', 'PF04863', 'PF06247', 'PF07645', 'PF07699', 'PF07974', 'PF09014', 'PF09064', 'PF09289', 'PF09443', 'PF12661', 'PF12662', 'PF12946', 'PF12947', 'PF14670', 'PF18193', 'PF18372', 'PF18720', 'PF20626', 'PF21195', 'PF21284', 'PF21286', 'PF21364', 'PF21700', 'PF21795']","['PF00053', 'PF00594', 'PF01414', 'PF09014', 'PF09064', 'PF09289', 'PF09443', 'PF18193', 'PF18372', 'PF18720']"
CL0003,"['PF00536', 'PF01698', 'PF02198', 'PF02961', 'PF04904', 'PF07647', 'PF09235', 'PF09597', 'PF13543', 'PF13932', 'PF18016', 'PF18017', 'PF18255', 'PF18609']","['PF02198', 'PF02961', 'PF04904', 'PF13543', 'PF13932', 'PF18016']"
CL0004,"['PF00054', 'PF00139', 'PF00262', 'PF00337', 'PF00354', 'PF00426', 'PF00457', 'PF00622', 'PF00629', 'PF00722', 'PF00840', 'PF01670', 'PF01828', 'PF02210', 'PF02973', 'PF03388', 'PF03935', 'PF05592', 'PF05735', 'PF06009', 'PF06439', 'PF06955', 'PF07081', 'PF07177', 'PF07622', 'PF07675', 'PF07953', 'PF08244', 'PF08787', 'PF08978', 'PF09101', 'PF09206', 'PF09224', 'PF09264', 'PF10008', 'PF10287', 'PF11476', 'PF11958', 'PF12248', 'PF13385', 'PF13765', 'PF14099', 'PF14299', 'PF15493', 'PF16346', 'PF16451', 'PF17689', 'PF17851', 'PF17995', 'PF18239', 'PF18271', 'PF18483', 'PF19559', 'PF19763', 'PF20407', 'PF20562', 'PF20773', 'PF20842', 'PF20843', 'PF21209', 'PF21294', 'PF21340', 'PF21708']","['PF00054', 'PF00262', 'PF00354', 'PF03388', 'PF05735', 'PF06009', 'PF07177', 'PF12248']"
CL0005,"['PF00050', 'PF07648', 'PF18434', 'PF21287', 'PF21288', 'PF21330']","['PF00050', 'PF18434']"
CL0007,"['PF00013', 'PF04025', 'PF07650', 'PF09869', 'PF13083', 'PF13184', 'PF14611', 'PF14955', 'PF15985', 'PF16005', 'PF17214', 'PF17903', 'PF17904', 'PF17905', 'PF20704', 'PF20777', 'PF21482', 'PF21718', 'PF21800']","['PF07650', 'PF14955', 'PF15985', 'PF16005', 'PF17903', 'PF17904']"
CL0010,"['PF00018', 'PF00385', 'PF00467', 'PF00552', 'PF00565', 'PF00567', 'PF00855', 'PF00924', 'PF01157', 'PF01245', 'PF01302', 'PF01393', 'PF01423', 'PF01426', 'PF01777', 'PF01845', 'PF01929', 'PF02170', 'PF02211', 'PF02237', 'PF02294', 'PF02427', 'PF02452', 'PF02513', 'PF02559', 'PF02736', 'PF02820', 'PF02941', 'PF03217', 'PF03831', 'PF03947', 'PF03983', 'PF04023', 'PF04153', 'PF04319', 'PF04397', 'PF05641', 'PF06003', 'PF06004', 'PF06107', 'PF06257', 'PF06347', 'PF06372', 'PF06442', 'PF06613', 'PF06701', 'PF07039', 'PF07126', 'PF07563', 'PF07653', 'PF07866', 'PF08141', 'PF08169', 'PF08207', 'PF08239', 'PF08460', 'PF08605', 'PF08810', 'PF08838', 'PF08940', 'PF08948', 'PF09038', 'PF09465', 'PF09629', 'PF09671', 'PF09926', 'PF09953', 'PF10383', 'PF10842', 'PF11061', 'PF11095', 'PF11160', 'PF11302', 'PF11347', 'PF11515', 'PF11607', 'PF11623', 'PF11717', 'PF11910', 'PF12073', 'PF12148', 'PF12208', 'PF12212', 'PF12701', 'PF12913', 'PF12914', 'PF13234', 'PF13457', 'PF13861', 'PF13958', 'PF13973', 'PF14001', 'PF14061', 'PF14192', 'PF14438', 'PF14563', 'PF14603', 'PF14604', 'PF14627', 'PF15057', 'PF15505', 'PF15997', 'PF16090', 'PF16277', 'PF16719', 'PF16906', 'PF17136', 'PF17209', 'PF17375', 'PF17384', 'PF17516', 'PF17902', 'PF18103', 'PF18104', 'PF18115', 'PF18129', 'PF18300', 'PF18309', 'PF18332', 'PF18334', 'PF18335', 'PF18336', 'PF18337', 'PF18339', 'PF18340', 'PF18341', 'PF18342', 'PF18343', 'PF18346', 'PF18347', 'PF18348', 'PF18349', 'PF18350', 'PF18354', 'PF18355', 'PF18356', 'PF18357', 'PF18358', 'PF18359', 'PF18380', 'PF18597', 'PF18697', 'PF18704', 'PF19023', 'PF19087', 'PF20297', 'PF20866', 'PF20884', 'PF20887', 'PF21094', 'PF21193', 'PF21196', 'PF21409', 'PF21485', 'PF21530', 'PF21743', 'PF21744']","['PF00467', 'PF00552', 'PF00565', 'PF00567', 'PF01157', 'PF01245', 'PF01302', 'PF01393', 'PF01426', 'PF01777', 'PF01929', 'PF02170', 'PF02237', 'PF02513', 'PF02736', 'PF02820', 'PF03947', 'PF04153', 'PF05641', 'PF06003', 'PF06372', 'PF06701', 'PF07039', 'PF08169', 'PF09038', 'PF09465', 'PF11095', 'PF11515', 'PF11717', 'PF12148', 'PF12701', 'PF13234', 'PF14061', 'PF14438', 'PF14603', 'PF15057', 'PF15505', 'PF15997', 'PF16906', 'PF17136', 'PF17902', 'PF18104', 'PF18115', 'PF18129', 'PF18300', 'PF18332', 'PF18334', 'PF18336', 'PF18346', 'PF18358', 'PF18359', 'PF18597', 'PF18704']"
CL0012,"['PF00125', 'PF00808', 'PF02269', 'PF02291', 'PF02969', 'PF03540', 'PF03847', 'PF04719', 'PF05236', 'PF07524', 'PF09123', 'PF09415', 'PF15510', 'PF15511', 'PF15630', 'PF15715', 'PF17027']","['PF00808', 'PF02269', 'PF02291', 'PF02969', 'PF03540', 'PF03847', 'PF04719', 'PF05236', 'PF07524', 'PF09415', 'PF15510', 'PF15511', 'PF15630', 'PF15715']"
CL0013,"['PF00144', 'PF00768', 'PF00905', 'PF02113', 'PF04960', 'PF13354']",['PF04960']
CL0014,"['PF00117', 'PF01174', 'PF01965', 'PF02016', 'PF03575', 'PF04204', 'PF06283', 'PF07090', 'PF07685', 'PF07722', 'PF08532', 'PF09822', 'PF09825', 'PF13507', 'PF13709', 'PF14258', 'PF17124', 'PF17385', 'PF18011', 'PF21455']","['PF07722', 'PF09822']"
CL0015,"['PF00083', 'PF00854', 'PF01306', 'PF01733', 'PF01770', 'PF02487', 'PF03092', 'PF03137', 'PF03209', 'PF03219', 'PF03825', 'PF04884', 'PF05631', 'PF05977', 'PF05978', 'PF06237', 'PF06609', 'PF06779', 'PF06813', 'PF06963', 'PF07672', 'PF07690', 'PF11700', 'PF12832', 'PF13000', 'PF13347', 'PF18943']","['PF00854', 'PF01770', 'PF02487', 'PF04884', 'PF05631', 'PF06237', 'PF06963', 'PF12832', 'PF13000']"
