Pfam_id,Uniprot_id,perplexity,model_path
PF13439_0.5,Q9H553,3.554309793,
PF01381_0.5,O60869,1.824997627,
PF00106_0.5,A0PJE2,2.512570985,
PF00106_0.5,Q6PKH6,3.987601903,
PF00106_0.5,Q96NR8,3.790698635,
PF00106_0.5,Q9Y394,2.966164342,
PF00106_0.5,P09417,1.856353601,
PF00106_0.5,P15428,3.260587786,
PF00106_0.5,Q96LJ7,3.753094673,
PF00106_0.5,O75452,2.08909884,
PF00106_0.5,Q9HBH5,3.538655337,
PF00106_0.5,Q9BPW9,3.481959916,
PF00106_0.5,P16152,1.341990081,
PF00106_0.5,P35270,3.316395875,
PF00106_0.5,Q99714,3.012067963,
PF00106_0.5,Q7Z5J1,4.602430755,
PF00106_0.5,Q8NBN7,3.830038147,
PF00106_0.5,P37059,6.016615608,
PF00106_0.5,Q8N5I4,3.672951346,
PF00106_0.5,P80365,4.227631686,
PF00106_0.5,Q6IAN0,2.878683695,
PF00106_0.5,Q7Z5P4,4.416257701,
PF00106_0.5,P51659,3.163533804,
PF00106_0.5,Q8IZV5,4.764328909,
PF00106_0.5,Q6UWP2,1.842720204,
PF00106_0.5,Q8NEX9,3.099226481,
PF00106_0.5,Q9NZC7,3.642055202,
PF00106_0.5,P14061,3.508376763,
PF00106_0.5,P37058,4.500694885,
PF00106_0.5,Q6YN16,3.23906338,
PF00106_0.5,Q53GQ0,3.854821644,
PF00106_0.5,A6NNS2,2.496343114,
PF00106_0.5,Q06136,2.171476508,
PF00106_0.5,P28845,5.144005824,
PF00106_0.5,Q8NBQ5,4.519843991,
PF00106_0.5,Q92781,2.399777209,
PF00106_0.5,P56937,2.681909737,
PF00106_0.5,Q3SXM5,4.274441528,
PF00106_0.5,Q6UX07,5.29519097,
PF00106_0.5,Q9NYR8,5.760670573,
PF00106_0.5,Q8N3Y7,4.084294605,
PF00106_0.5,O14756,2.533567992,
PF00106_0.5,Q02338,4.774345041,
PF00106_0.5,Q8TC12,3.696820555,
PF00106_0.5,O75911,1.925036092,
PF00106_0.5,O75828,2.215569489,
PF07714_0.5,P16591,3.135729499,
PF07714_0.5,Q9UHY1,7.946545055,
PF07714_0.5,Q14289,6.122450092,
PF07714_0.5,Q8NER5,5.032905745,
PF07714_0.5,P54764,4.738907199,
PF07714_0.5,Q01973,2.381396739,
PF07714_0.5,P04049,4.234691543,
PF07714_0.5,O43283,10.35569433,
PF07714_0.5,Q01974,3.320605539,
PF07714_0.5,P42681,5.317363808,
PF07714_0.5,P07333,7.046307512,
PF07714_0.5,Q8NB16,4.892133329,
PF07714_0.5,O15146,5.802234997,
PF07714_0.5,P12931,3.931228372,
PF07714_0.5,P54753,4.701012584,
PF07714_0.5,Q9NYL2,2.968829373,
PF07714_0.5,P37173,2.889718396,
PF07714_0.5,P36888,8.860646468,
PF07714_0.5,P53667,4.134953732,
PF07714_0.5,Q16620,2.707336054,
PF07714_0.5,P29320,5.15211931,
PF07714_0.5,P15056,3.265505416,
PF07714_0.5,Q08345,5.51879514,
PF07714_0.5,Q5JZY3,5.731979488,
PF07714_0.5,P51451,4.087227583,
PF07714_0.5,P51813,5.091787473,
PF07714_0.5,P34925,2.316699157,
PF07714_0.5,P43405,6.90142492,
PF07714_0.5,O15197,5.59919598,
PF07714_0.5,O43353,3.193681756,
PF07714_0.5,P11362,4.550387105,
PF07714_0.5,Q9NWZ3,6.011657546,
PF07714_0.5,Q04771,5.154981692,
PF07714_0.5,O00238,4.68084682,
PF07714_0.5,P10398,3.604548602,
PF07714_0.5,P07332,4.240055529,
PF07714_0.5,P54762,4.944894713,
PF07714_0.5,Q16288,2.302973612,
PF07714_0.5,Q9H5K3,3.052662978,
PF07714_0.5,Q15375,4.7580495,
PF07714_0.5,P08631,3.772809903,
PF07714_0.5,P42685,4.797182749,
PF07714_0.5,P42680,4.390509053,
PF07714_0.5,Q6J9G0,6.062305537,
PF07714_0.5,Q59H18,2.570692759,
PF07714_0.5,P30530,4.328316017,
PF07714_0.5,P06239,3.867122782,
PF07714_0.5,P07947,3.723820687,
PF07714_0.5,Q9H3Y6,5.229200262,
PF07714_0.5,P21709,4.349090861,
PF07714_0.5,Q8NFD2,5.644766584,
PF07714_0.5,P36894,5.009034723,
PF07714_0.5,Q6XUX3,9.036943544,
PF07714_0.5,P43403,7.086282295,
PF07714_0.5,P29317,4.584266707,
PF07714_0.5,Q8IVT5,5.892865283,
PF07714_0.5,P22607,4.31569276,
PF07714_0.5,P21802,4.142014555,
PF07714_0.5,Q08881,4.583635855,
PF07714_0.5,P42679,6.233676502,
PF07714_0.5,Q12852,8.902792465,
PF07714_0.5,P41240,5.030869615,
PF07714_0.5,P29376,3.723491499,
PF07714_0.5,Q16832,5.228229654,
PF07714_0.5,Q02779,6.365743499,
PF07714_0.5,Q06418,4.528731201,
PF07714_0.5,P54760,4.519011327,
PF07714_0.5,Q13546,4.796103331,
PF07714_0.5,P53671,4.526061374,
PF07714_0.5,P29322,5.036453349,
PF07714_0.5,P06241,4.049539681,
PF07714_0.5,Q16584,5.904069315,
PF07714_0.5,Q13882,4.98461075,
PF07714_0.5,Q06187,5.183096194,
PF07714_0.5,P37023,4.797374944,
PF07714_0.5,Q15569,7.912973877,
PF07714_0.5,P09769,4.415214533,
PF07714_0.5,Q6VAB6,6.197783735,
PF07714_0.5,Q96S53,8.321354822,
PF07714_0.5,P10721,7.226023601,
PF07714_0.5,P22455,4.823187585,
PF07714_0.5,O43318,4.394939402,
PF07714_0.5,Q12866,4.563370049,
PF07714_0.5,Q13418,6.285461584,
PF07714_0.5,P04629,3.033907976,
PF07714_0.5,P07948,3.466520754,
PF07714_0.5,Q13470,5.977455802,
PF13855_0.5,P51888,5.388007557,
PF13855_0.5,Q9ULH4,3.491050171,
PF13855_0.5,Q96QE4,4.764039149,
PF13855_0.5,O94769,5.841585498,
PF13855_0.5,P20774,6.060406399,
PF13855_0.5,Q86UE6,5.433863213,
PF13855_0.5,Q9BY71,3.563452035,
PF13855_0.5,Q50LG9,3.312494978,
PF13855_0.5,Q9P244,3.168527961,
PF13855_0.5,Q96CX6,2.596428724,
