Pfam_id,Uniprot_id,perplexity,model_path
PF03114_CL0145_0.9,Q99963,4.181470250199838,
PF03114_CL0145_0.9,Q9NR46,4.775945613078262,
PF03114_CL0145_0.9,Q9Y3L3,3.230175751411717,
PF03114_CL0145_0.9,Q9Y371,4.227817240927699,
PF03114_CL0145_0.9,Q68EM7,3.5284374101598748,
PF03114_CL0145_0.9,O00499,3.7571917407630027,
PF03114_CL0145_0.9,Q9NQY0,5.8423020026715475,
PF03114_CL0145_0.9,Q17R89,3.499619883072216,
PF03114_CL0145_0.9,Q9UBW5,3.968055314725591,
PF03114_CL0145_0.9,Q99962,4.569147493945957,
PF03114_CL0145_0.9,Q99961,4.599851547089773,
PF03114_CL0145_0.9,Q6ZT62,2.8862044313553223,
PF03114_CL0145_0.9,P49418,2.4853761450325917,
PF06456_CL0145_0.9,Q05084,3.2882437731448833,
PF06456_CL0145_0.9,P53365,2.627310578235594,
PF06456_CL0145_0.9,P53367,2.4111837022233633,
PF06456_CL0145_0.9,Q8NDH6,4.229430624129012,
PF06456_CL0145_0.9,Q9NRD5,7.968187900106136,
PF06730_CL0145_0.9,Q6ZTR7,6.208821488084975,
PF06730_CL0145_0.9,A1XBS5,5.691428038866334,
PF08397_CL0145_0.9,O43312,2.233178645308707,
PF08397_CL0145_0.9,Q9UHR4,2.868838663726305,
PF08397_CL0145_0.9,Q6UXY1,6.412285717374571,
PF08397_CL0145_0.9,Q765P7,2.3766892295816624,
PF08397_CL0145_0.9,Q9UQB8,2.167756960376197,
PF09325_CL0145_0.9,Q86XE0,7.394931403828513,
PF09325_CL0145_0.9,Q9Y5X3,6.914418421753818,
PF09325_CL0145_0.9,Q13596,3.9296601919937992,
PF09325_CL0145_0.9,Q9UNH7,6.919854363534522,
PF09325_CL0145_0.9,O60749,3.1928838618037707,
PF10456_CL0145_0.9,Q96RF0,6.81519089703489,
PF10456_CL0145_0.9,Q9Y5X1,3.017147818811663,
PF10456_CL0145_0.9,Q8WV41,5.371844173257916,
PF12240_CL0145_0.9,Q9Y2J4,4.771378387211176,
PF12240_CL0145_0.9,Q8IY63,5.110248632676944,
PF08513_CL0561_0.9,Q8IYT4,7.4355651979700985,
PF08513_CL0561_0.9,Q9BQ87,1.8467974182421565,
PF08513_CL0561_0.9,P43034,1.7928337586301146,
PF08513_CL0561_0.9,O60907,1.8312718434532689,
PF08513_CL0561_0.9,Q9NWU2,2.195310028630757,
PF08513_CL0561_0.9,Q6VN20,6.3248502574825425,
PF08513_CL0561_0.9,Q9BZK7,1.473016222489362,
PF08513_CL0561_0.9,Q96S59,6.297498719654593,
PF09398_CL0561_0.9,O95684,1.408907130094583,
PF09398_CL0561_0.9,Q96NB1,5.083295263529438,
PF16045_CL0561_0.9,O75665,4.362860873912916,
PF02136_CL0051_0.9,Q9H4D5,5.42834624366739,
PF02136_CL0051_0.9,Q9UN86,2.697542304609496,
PF02136_CL0051_0.9,Q13283,2.672173395113202,
PF02136_CL0051_0.9,Q9NPJ8,1.3418739233562496,
PF02136_CL0051_0.9,Q9UBU9,1.828004787004714,
PF02136_CL0051_0.9,Q9UKK6,2.285913349679818,
PF02136_CL0051_0.9,Q9GZY0,2.8086159954133683,
PF02136_CL0051_0.9,P61970,1.6535662898017747,
PF04280_CL0051_0.9,O43615,1.9887585505741605,
PF04280_CL0051_0.9,Q9BRJ2,8.553169088635316,
PF08294_CL0051_0.9,Q9BVV7,4.139503739635118,
PF08695_CL0051_0.9,Q9GZY4,7.80764233628706,
PF10184_CL0051_0.9,Q5SQH8,3.6280869298212313,
