Model_name,uniprot,pdb_chain,local_AUC,local_P@L,local_P@L2,local_P@L5,short_AUC,short_P@L,short_P@L2,short_P@L5,medium_AUC,medium_P@L,medium_P@L2,medium_P@L5,long_AUC,long_P@L,long_P@L2,long_P@L5
PF03114_CL0145_0.9,Q99963,2z0v_A,0.8108654022216797,0.7638888955116272,0.7870370149612427,0.8837209343910217,0.12712368369102478,0.0694444477558136,0.1111111119389534,0.1627907007932663,0.2482093870639801,0.1111111119389534,0.21296297013759613,0.44186046719551086,0.4413571357727051,0.27314814925193787,0.4444444477558136,0.604651153087616
PF03114_CL0145_0.9,Q9Y371,6upn_A,0.8073631525039673,0.7551020383834839,0.8278688788414001,0.8979591727256775,0.07436470687389374,0.05714285746216774,0.07377049326896667,0.10204081982374191,0.2350427210330963,0.10204081982374191,0.19672131538391113,0.36734694242477417,0.372959703207016,0.22857142984867096,0.3442623019218445,0.5306122303009033
PF03114_CL0145_0.9,O00499,2fic_B,0.9134986996650696,0.8756219148635864,0.9300000071525574,0.925000011920929,0.09240023046731949,0.04477611929178238,0.07000000029802322,0.15000000596046448,0.20786099135875702,0.07960198819637299,0.15000000596046448,0.3499999940395355,0.39948320388793945,0.2636815905570984,0.3499999940395355,0.550000011920929
PF03114_CL0145_0.9,Q6XZF7,1ug1_A,0.49597376585006714,0.3804347813129425,0.45652174949645996,0.6111111044883728,0.447587788105011,0.25,0.41304346919059753,0.7222222089767456,0.5573229789733887,0.3478260934352875,0.54347825050354,0.7222222089767456,0.5662034153938293,0.3586956560611725,0.52173912525177,0.7222222089767456
PF03114_CL0145_0.9,Q9UBW5,4avm_A,0.9065614938735962,0.852173924446106,0.904347836971283,0.95652174949646,0.07682366669178009,0.030434781685471535,0.06086956337094307,0.1304347813129425,0.14661835134029388,0.06086956337094307,0.11304347962141037,0.21739129722118378,0.4683505892753601,0.291304349899292,0.417391300201416,0.695652186870575
PF03114_CL0145_0.9,Q99962,1x03_A,0.8820797204971313,0.8069307208061218,0.8811880946159363,0.925000011920929,0.1341055929660797,0.07920791953802109,0.10891088843345642,0.22499999403953552,0.22772753238677979,0.09405940771102905,0.1683168262243271,0.4000000059604645,0.4422167241573334,0.27227723598480225,0.40594059228897095,0.6499999761581421
PF03114_CL0145_0.9,P49418,4atm_A,0.8819084167480469,0.837104082107544,0.8999999761581421,0.9090909361839294,0.07153528183698654,0.027149321511387825,0.05454545468091965,0.11363636702299118,0.1573496013879776,0.07692307978868484,0.13636364042758942,0.25,0.43976861238479614,0.26696833968162537,0.3909091055393219,0.6590909361839294
PF06456_CL0145_0.9,P53365,1i49_A,0.9271028637886047,0.8855721354484558,0.9300000071525574,0.949999988079071,0.1409582644701004,0.05970149114727974,0.10999999940395355,0.25,0.26802411675453186,0.11442785710096359,0.23000000417232513,0.4000000059604645,0.5307583808898926,0.3681592047214508,0.47999998927116394,0.7749999761581421
PF06456_CL0145_0.9,Q9NRD5,6bjn_A,0.5946182608604431,0.42391303181648254,0.6086956262588501,0.8333333134651184,0.48552989959716797,0.29347825050354004,0.47826087474823,0.6666666865348816,0.5128227472305298,0.3586956560611725,0.52173912525177,0.6666666865348816,0.6021054983139038,0.4021739065647125,0.6086956262588501,0.7777777910232544
PF06730_CL0145_0.9,A1XBS5,8ceg_B,0.9702582359313965,0.9392523169517517,0.9719626307487488,0.976190447807312,0.10790878534317017,0.04205607622861862,0.08411215245723724,0.190476194024086,0.1388774961233139,0.07476635277271271,0.11214952915906906,0.2380952388048172,0.386139839887619,0.25233644247055054,0.40186914801597595,0.5
